category,item,attribute,answer,page_url
athletes,Kylian Mbappé,Sports Team,Real Madrid Club de Fútbol,https://en.wikipedia.org/wiki/Kylian_Mbapp%C3%A9
athletes,Kevin De Bruyne,Sports Team,SSC Napoli,https://en.wikipedia.org/wiki/Kevin_De_Bruyne
athletes,Harry Kane,Sports Team,FC Bayern Munich,https://en.wikipedia.org/wiki/Harry_Kane
athletes,Kevin Durant,Sports Team,Houston Rockets,https://en.wikipedia.org/wiki/Kevin_Durant
athletes,Bradley Beal,Sports Team,Phoenix Suns,https://en.wikipedia.org/wiki/Bradley_Beal
athletes,Kawhi Leonard,Sports Team,Los Angeles Clippers,https://en.wikipedia.org/wiki/Kawhi_Leonard
athletes,Paul George,Sports Team,Philadelphia 76ers,https://en.wikipedia.org/wiki/Paul_George
athletes,Carlos Sainz Jr.,Sports Team,Williams Racing,https://en.wikipedia.org/wiki/Carlos_Sainz_Jr.
athletes,Pierre Gasly,Sports Team,Alpine F1 Team,https://en.wikipedia.org/wiki/Pierre_Gasly
organizations,Amazon,chief executive officer,Andy Jassy,https://en.wikipedia.org/wiki/Amazon_(company)
organizations,Toyota,chief executive officer,Kōji Seto,https://en.wikipedia.org/wiki/Koji_Sato_(engineer)
organizations,BP,chief executive officer,Bernard Looney,https://en.wikipedia.org/wiki/BP
organizations,World Bank,chairperson,Ajaypal Singh Banga,https://en.wikipedia.org/wiki/World_Bank
organizations,International Olympic Committee,chairperson,Kirsty Coventry,https://en.wikipedia.org/wiki/International_Olympic_Committee
